2025-01-21 14:21:57,947 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.006 cores, Memory: 1649.0 MiB
2025-01-21 14:22:03,021 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 79.0 MiB
2025-01-21 14:22:03,021 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 398.0 MiB
2025-01-21 14:22:03,021 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.004 cores, Memory: 19.0 MiB
2025-01-21 14:22:03,022 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:22:03,022 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.006 cores, Memory: 1649.0 MiB
2025-01-21 14:22:08,110 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 79.0 MiB
2025-01-21 14:22:08,110 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 398.0 MiB
2025-01-21 14:22:08,111 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.004 cores, Memory: 19.0 MiB
2025-01-21 14:22:08,111 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:22:08,111 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.006 cores, Memory: 1649.0 MiB
2025-01-21 14:22:13,196 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 79.0 MiB
2025-01-21 14:22:13,197 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 398.0 MiB
2025-01-21 14:22:13,197 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.004 cores, Memory: 19.0 MiB
2025-01-21 14:22:13,197 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:22:13,198 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.006 cores, Memory: 1649.0 MiB
2025-01-21 14:22:18,293 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 79.0 MiB
2025-01-21 14:22:18,294 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 398.0 MiB
